2.380000	0.000000
2.381000	-0.046494
2.382000	-0.184283
2.383000	-0.410855
2.384000	-0.723730
2.385000	-1.120457
2.386000	-1.598621
2.387000	-2.155834
2.388000	-2.789743
2.389000	-3.498025
2.390000	-4.278387
2.391000	-5.128567
2.392000	-6.046335
2.393000	-7.029491
2.394000	-8.075863
2.395000	-9.183313
2.396000	-10.349729
2.397000	-11.573032
2.398000	-12.851170
2.399000	-14.182121
2.400000	-15.563894
2.401000	-16.994526
2.402000	-18.472080
2.403000	-19.994653
2.404000	-21.560365
2.405000	-23.167369
2.406000	-24.813843
2.407000	-26.497994
2.408000	-28.218057
2.409000	-29.972294
2.410000	-31.758995
2.411000	-33.576477
2.412000	-35.423083
2.413000	-37.297185
2.414000	-39.197180
2.415000	-41.121492
2.416000	-43.068572
2.417000	-45.036895
2.418000	-47.024966
2.419000	-49.031311
2.420000	-51.054485
2.421000	-53.093067
2.422000	-55.145662
2.423000	-57.210900
2.424000	-59.287435
2.425000	-61.373947
2.426000	-63.469139
2.427000	-65.571739
2.428000	-67.680501
2.429000	-69.794201
2.430000	-71.911638
2.431000	-74.031638
2.432000	-76.153047
2.433000	-78.274736
2.434000	-80.395599
2.435000	-82.514553
2.436000	-84.630538
2.437000	-86.742515
2.438000	-88.849469
2.439000	-90.950408
2.440000	-93.044359
2.441000	-95.130374
2.442000	-97.207524
2.443000	-99.274905
2.444000	-101.331631
2.445000	-103.376838
2.446000	-105.409685
2.447000	-107.429348
2.448000	-109.435028
2.449000	-111.425943
2.450000	-113.401333
2.451000	-115.360458
2.452000	-117.302596
2.453000	-119.227048
2.454000	-121.133132
2.455000	-123.020186
2.456000	-124.887569
2.457000	-126.734655
2.458000	-128.560840
2.459000	-130.365539
2.460000	-132.148184
2.461000	-133.908224
2.462000	-135.645130
2.463000	-137.358388
2.464000	-139.047503
2.465000	-140.711996
2.466000	-142.351407
2.467000	-143.965292
2.468000	-145.553227
2.469000	-147.114800
2.470000	-148.649621
2.471000	-150.157312
2.472000	-151.637514
2.473000	-153.089883
2.474000	-154.514091
2.475000	-155.909828
2.476000	-157.276796
2.477000	-158.614715
2.478000	-159.923319
2.479000	-161.202358
2.480000	-162.451597
2.481000	-163.670814
2.482000	-164.859805
2.483000	-166.018375
2.484000	-167.146349
2.485000	-168.243563
2.486000	-169.309866
2.487000	-170.345124
2.488000	-171.349212
2.489000	-172.322022
2.490000	-173.263458
2.491000	-174.173436
2.492000	-175.051886
2.493000	-175.898750
2.494000	-176.713983
2.495000	-177.497551
2.496000	-178.249434
2.497000	-178.969622
2.498000	-179.658117
2.499000	-180.314933
2.500000	-180.940096
2.501000	-181.533642
2.502000	-182.095619
2.503000	-182.626084
2.504000	-183.125107
2.505000	-183.592767
2.506000	-184.029153
2.507000	-184.434365
2.508000	-184.808514
2.509000	-185.151717
2.510000	-185.464104
2.511000	-185.745814
2.512000	-185.996993
2.513000	-186.217798
2.514000	-186.408395
2.515000	-186.568958
2.516000	-186.699668
2.517000	-186.800718
2.518000	-186.872305
2.519000	-186.914636
2.520000	-186.927927
2.521000	-186.912399
2.522000	-186.868283
2.523000	-186.795814
2.524000	-186.695238
2.525000	-186.566804
2.526000	-186.410770
2.527000	-186.227401
2.528000	-186.016967
2.529000	-185.779744
2.530000	-185.516015
2.531000	-185.226068
2.532000	-184.910198
2.533000	-184.568703
2.534000	-184.201889
2.535000	-183.810065
2.536000	-183.393546
2.537000	-182.952651
2.538000	-182.487705
2.539000	-181.999036
2.540000	-181.486976
2.541000	-180.951863
2.542000	-180.394036
2.543000	-179.813840
2.544000	-179.211622
2.545000	-178.587734
2.546000	-177.942530
2.547000	-177.276366
2.548000	-176.589603
2.549000	-175.882602
2.550000	-175.155729
2.551000	-174.409351
2.552000	-173.643836
2.553000	-172.859557
2.554000	-172.056885
2.555000	-171.236195
2.556000	-170.397862
2.557000	-169.542264
2.558000	-168.669778
2.559000	-167.780782
2.560000	-166.875656
2.561000	-165.954780
2.562000	-165.018533
2.563000	-164.067295
2.564000	-163.101447
2.565000	-162.121368
2.566000	-161.127437
2.567000	-160.120034
2.568000	-159.099535
2.569000	-158.066317
2.570000	-157.020758
2.571000	-155.963230
2.572000	-154.894107
2.573000	-153.813759
2.574000	-152.722558
2.575000	-151.620868
2.576000	-150.509057
2.577000	-149.387485
2.578000	-148.256515
2.579000	-147.116502
2.580000	-145.967801
2.581000	-144.810763
2.582000	-143.645738
2.583000	-142.473068
2.584000	-141.293095
2.585000	-140.106156
2.586000	-138.912584
2.587000	-137.712708
2.588000	-136.506852
2.589000	-135.295337
2.590000	-134.078478
2.591000	-132.856587
2.592000	-131.629973
2.593000	-130.398936
2.594000	-129.163778
2.595000	-127.924792
2.596000	-126.682269
2.597000	-125.436495
2.598000	-124.187753
2.599000	-122.936322
2.600000	-121.682474
2.601000	-120.426481
2.602000	-119.168609
2.603000	-117.909119
2.604000	-116.648271
2.605000	-115.386317
2.606000	-114.123509
2.607000	-112.860093
2.608000	-111.596311
2.609000	-110.332403
2.610000	-109.068603
2.611000	-107.805141
2.612000	-106.542247
2.613000	-105.280142
2.614000	-104.019047
2.615000	-102.759178
2.616000	-101.500748
2.617000	-100.243964
2.618000	-98.989034
2.619000	-97.736157
2.620000	-96.485532
2.621000	-95.237353
2.622000	-93.991812
2.623000	-92.749095
2.624000	-91.509387
2.625000	-90.272867
2.626000	-89.039714
2.627000	-87.810100
2.628000	-86.584195
2.629000	-85.362167
2.630000	-84.144179
2.631000	-82.930391
2.632000	-81.720960
2.633000	-80.516040
